algoritmo,limite,tipo_entrada,tamanho,repeticoes,tempo_medio,comparacoes_medias,status
AOH Merge+Insertion,16,Crescente,100,3,3.580000096311172e-05,244.0,OK
AOH Merge+Insertion,32,Crescente,100,3,2.3233335620413225e-05,196.0,OK
AOH Merge+Insertion,64,Crescente,100,3,1.4299992471933365e-05,148.0,OK
AOH Merge+Insertion,128,Crescente,100,3,6.8000129734476405e-06,99.0,OK
AOH Merge+Insertion,16,Decrescente,100,3,5.5500015150755644e-05,724.0,OK
AOH Merge+Insertion,32,Decrescente,100,3,8.103332947939634e-05,1300.0,OK
AOH Merge+Insertion,64,Decrescente,100,3,0.0001363333431072533,2500.0,OK
AOH Merge+Insertion,128,Decrescente,100,3,0.00021793332416564226,4950.0,OK
AOH Merge+Insertion,16,Aleatório,100,3,5.0433348709096513e-05,661.0,OK
AOH Merge+Insertion,32,Aleatório,100,3,5.289999535307288e-05,893.0,OK
AOH Merge+Insertion,64,Aleatório,100,3,6.793334614485502e-05,1347.0,OK
AOH Merge+Insertion,128,Aleatório,100,3,0.00011523333766187231,2620.0,OK
AOH Merge+Insertion,16,Crescente,1000,3,0.0005574666623336574,3956.0,OK
AOH Merge+Insertion,32,Crescente,1000,3,0.0003955666519080599,3476.0,OK
AOH Merge+Insertion,64,Crescente,1000,3,0.00031663333841909963,2988.0,OK
AOH Merge+Insertion,128,Crescente,1000,3,0.00024403332887838283,2492.0,OK
AOH Merge+Insertion,16,Decrescente,1000,3,0.000867566637073954,10300.0,OK
AOH Merge+Insertion,32,Decrescente,1000,3,0.0010922999936155975,17620.0,OK
AOH Merge+Insertion,64,Decrescente,1000,3,0.001690333359874785,32748.0,OK
AOH Merge+Insertion,128,Decrescente,1000,3,0.003458333337524285,63500.0,OK
AOH Merge+Insertion,16,Aleatório,1000,3,0.000743366680884113,10499.0,OK
AOH Merge+Insertion,32,Aleatório,1000,3,0.000855666643474251,13686.0,OK
AOH Merge+Insertion,64,Aleatório,1000,3,0.0011252000113017857,20745.0,OK
AOH Merge+Insertion,128,Aleatório,1000,3,0.0017522666797352333,35730.0,OK
AOH Merge+Insertion,16,Crescente,5000,3,0.0035914333226780095,27124.0,OK
AOH Merge+Insertion,32,Crescente,5000,3,0.0031544999995579324,24820.0,OK
AOH Merge+Insertion,64,Crescente,5000,3,0.0026478666501740613,22388.0,OK
AOH Merge+Insertion,128,Crescente,5000,3,0.0022342666828384003,19948.0,OK
AOH Merge+Insertion,16,Decrescente,5000,3,0.0045573666381339235,44324.0,OK
AOH Merge+Insertion,32,Decrescente,5000,3,0.004973566664072375,66284.0,OK
AOH Merge+Insertion,64,Decrescente,5000,3,0.006562500027939677,112644.0,OK
AOH Merge+Insertion,128,Decrescente,5000,3,0.010643766669090837,207804.0,OK
AOH Merge+Insertion,16,Aleatório,5000,3,0.004490966656400512,58644.0,OK
AOH Merge+Insertion,32,Aleatório,5000,3,0.004633033318289866,66729.0,OK
AOH Merge+Insertion,64,Aleatório,5000,3,0.004898166672016184,87369.0,OK
AOH Merge+Insertion,128,Aleatório,5000,3,0.006739566645895441,131534.0,OK
AOH Merge+Insertion,16,Crescente,30000,3,0.022493033320643008,193632.0,OK
AOH Merge+Insertion,32,Crescente,30000,3,0.02027280000038445,179296.0,OK
AOH Merge+Insertion,64,Crescente,30000,3,0.018323266645893455,164656.0,OK
AOH Merge+Insertion,128,Crescente,30000,3,0.016485033304585766,149808.0,OK
AOH Merge+Insertion,16,Decrescente,30000,3,0.0317220333381556,369280.0,OK
AOH Merge+Insertion,32,Decrescente,30000,3,0.03818249997372428,574240.0,OK
AOH Merge+Insertion,64,Decrescente,30000,3,0.05511043335233504,998800.0,OK
AOH Merge+Insertion,128,Decrescente,30000,3,0.0894560333302555,1862768.0,OK
AOH Merge+Insertion,16,Aleatório,30000,3,0.031754000015401594,451806.0,OK
AOH Merge+Insertion,32,Aleatório,30000,3,0.03325756666405747,536324.0,OK
AOH Merge+Insertion,64,Aleatório,30000,3,0.03993539999161536,727946.0,OK
AOH Merge+Insertion,128,Aleatório,30000,3,0.05689576665948456,1139648.0,OK
AOH Merge+Insertion,16,Crescente,50000,3,0.040103300008922815,347008.0,OK
AOH Merge+Insertion,32,Crescente,50000,3,0.036573666671756655,323632.0,OK
AOH Merge+Insertion,64,Crescente,50000,3,0.032805966679006815,299232.0,OK
AOH Merge+Insertion,128,Crescente,50000,3,0.029779266682453454,274656.0,OK
