algoritmo,tipo_entrada,tamanho,repeticoes,tempo_medio,comparacoes_medias,status
Bubble Sort,Crescente,100,3,0.00015013333177194,4950.0,OK
Bubble Sort,Decrescente,100,3,0.0002686000079847872,4950.0,OK
Bubble Sort,Aleatório,100,3,0.00022416666615754366,4950.0,OK
Bubble Sort,Crescente,1000,3,0.015618066672080507,499500.0,OK
Bubble Sort,Decrescente,1000,3,0.027225066665171955,499500.0,OK
Bubble Sort,Aleatório,1000,3,0.02295623332611285,499500.0,OK
Bubble Sort,Crescente,5000,3,0.3576762333395891,12497500.0,OK
Bubble Sort,Decrescente,5000,3,0.6967770333382456,12497500.0,OK
Bubble Sort,Aleatório,5000,3,0.5790845666585179,12497500.0,OK
Bubble Sort,Crescente,30000,3,12.925755933334585,449985000.0,OK
Bubble Sort,Decrescente,30000,3,24.789776500004034,449985000.0,OK
Bubble Sort,Aleatório,30000,3,20.721132833326312,449985000.0,OK
Bubble Sort,Crescente,50000,3,37.24097573334196,1249975000.0,OK
Bubble Sort,Decrescente,50000,3,70.32631690001774,1249975000.0,OK
Bubble Sort,Aleatório,50000,3,60.380839366669534,1249975000.0,OK
Bubble Sort,Crescente,100000,3,172.27483966666236,4999950000.0,OK
Bubble Sort,Decrescente,100000,3,300.7153769000045,4999950000.0,OK
Bubble Sort,Aleatório,100000,3,275.0882531333288,4999950000.0,OK
Bubble Sort,Crescente,150000,3,398.3430670999999,11249925000.0,OK
Bubble Sort,Decrescente,150000,3,680.0072526000052,11249925000.0,OK
Bubble Sort,Aleatório,150000,3,605.4694610000006,11249925000.0,OK
Bubble Sort,Crescente,200000,3,706.1653377333326,19999900000.0,OK
Bubble Sort,Decrescente,200000,3,1228.3414279666613,19999900000.0,OK
Bubble Sort,Aleatório,200000,3,1097.7519553666643,19999900000.0,OK
