algoritmo,tipo_entrada,tamanho,repeticoes,tempo_medio,comparacoes_medias,status
Heap Sort,Crescente,100,3,8.856666196758549e-05,1081.0,OK
Heap Sort,Decrescente,100,3,7.193333779772122e-05,944.0,OK
Heap Sort,Aleatório,100,3,7.953334716148674e-05,1031.0,OK
Heap Sort,Crescente,1000,3,0.0012796666705980897,17583.0,OK
Heap Sort,Decrescente,1000,3,0.001235233338472123,15965.0,OK
Heap Sort,Aleatório,1000,3,0.0013160666761298974,16837.0,OK
Heap Sort,Crescente,5000,3,0.008551799992953116,112126.0,OK
Heap Sort,Decrescente,5000,3,0.007596199992500867,103227.0,OK
Heap Sort,Aleatório,5000,3,0.0076837666662565125,107677.0,OK
Heap Sort,Crescente,30000,3,0.05350136666675098,826347.0,OK
Heap Sort,Decrescente,30000,3,0.049080999994960926,775687.0,OK
Heap Sort,Aleatório,30000,3,0.05325913332247486,800885.0,OK
Heap Sort,Crescente,50000,3,0.09555483331981425,1455438.0,OK
Heap Sort,Decrescente,50000,3,0.08951156666929212,1366047.0,OK
Heap Sort,Aleatório,50000,3,0.09244489999643217,1409752.0,OK
Heap Sort,Crescente,100000,3,0.21833463332344158,3112517.0,OK
Heap Sort,Decrescente,100000,3,0.19753069999084497,2926640.0,OK
Heap Sort,Aleatório,100000,3,0.2056563999988915,3019700.0,OK
Heap Sort,Crescente,150000,3,0.32842573333376396,4838906.0,OK
Heap Sort,Decrescente,150000,3,0.30790836667680804,4571170.0,OK
Heap Sort,Aleatório,150000,3,0.33274556667311117,4700896.0,OK
Heap Sort,Crescente,200000,3,0.4544738666736521,6626912.0,OK
Heap Sort,Decrescente,200000,3,0.41338773333700374,6256303.0,OK
Heap Sort,Aleatório,200000,3,0.4492121666650443,6438964.0,OK
