algoritmo,tipo_entrada,tamanho,repeticoes,tempo_medio,comparacoes_medias,status
Insertion Sort,Crescente,100,3,1.0499992640689015e-05,99.0,OK
Insertion Sort,Decrescente,100,3,0.00027676666892754537,4950.0,OK
Insertion Sort,Aleatório,100,3,0.00011406667181290686,2531.0,OK
Insertion Sort,Crescente,1000,3,6.71333303519835e-05,999.0,OK
Insertion Sort,Decrescente,1000,3,0.023253599986977253,499500.0,OK
Insertion Sort,Aleatório,1000,3,0.011751366653091585,254781.0,OK
Insertion Sort,Crescente,5000,3,0.0002488333363241206,4999.0,OK
Insertion Sort,Decrescente,5000,3,0.5240572333277669,12497500.0,OK
Insertion Sort,Aleatório,5000,3,0.2609979000020151,6218022.0,OK
Insertion Sort,Crescente,30000,3,0.0018263000044195603,29999.0,OK
Insertion Sort,Decrescente,30000,3,19.001152566672925,449985000.0,OK
Insertion Sort,Aleatório,30000,3,9.615901833341923,224547909.0,OK
Insertion Sort,Crescente,50000,3,0.0029782333391873785,49999.0,OK
Insertion Sort,Decrescente,50000,3,53.080108133338705,1249975000.0,OK
Insertion Sort,Aleatório,50000,3,26.025284899990464,624859994.0,OK
Insertion Sort,Crescente,100000,3,0.005651799991028383,99999.0,OK
Insertion Sort,Decrescente,100000,3,224.38072733332714,4999950000.0,OK
Insertion Sort,Aleatório,100000,3,109.69453836667041,2507897762.0,OK
Insertion Sort,Crescente,150000,3,0.007853266656942045,149999.0,OK
Insertion Sort,Decrescente,150000,3,515.9146052999907,11249925000.0,OK
Insertion Sort,Aleatório,150000,3,251.6413429666621,5633693209.0,OK
Insertion Sort,Crescente,200000,3,0.010273899999447167,199999.0,OK
Insertion Sort,Decrescente,200000,3,937.4516540666713,19999900000.0,OK
Insertion Sort,Aleatório,200000,3,450.5344779666727,9981760391.0,OK
