algoritmo,tipo_entrada,tamanho,repeticoes,tempo_medio,comparacoes_medias,status
Merge Sort,Crescente,100,3,8.110000635497272e-05,356.0,OK
Merge Sort,Decrescente,100,3,7.896665677738686e-05,316.0,OK
Merge Sort,Aleatório,100,3,8.190000274529059e-05,536.0,OK
Merge Sort,Crescente,1000,3,0.0010900000052060932,5044.0,OK
Merge Sort,Decrescente,1000,3,0.0011439000081736594,4932.0,OK
Merge Sort,Aleatório,1000,3,0.0012234000023454428,8705.0,OK
Merge Sort,Crescente,5000,3,0.005876266659470275,32004.0,OK
Merge Sort,Decrescente,5000,3,0.00608943333888116,29804.0,OK
Merge Sort,Aleatório,5000,3,0.006814133346779272,55180.0,OK
Merge Sort,Crescente,30000,3,0.037091933336341754,227728.0,OK
Merge Sort,Decrescente,30000,3,0.03857140000521516,219504.0,OK
Merge Sort,Aleatório,30000,3,0.04241336666746065,408503.0,OK
Merge Sort,Crescente,50000,3,0.06350460000491391,401952.0,OK
Merge Sort,Decrescente,50000,3,0.06469960000443582,382512.0,OK
Merge Sort,Aleatório,50000,3,0.07417123334016651,718360.0,OK
Merge Sort,Crescente,100000,3,0.13405106667778455,853904.0,OK
Merge Sort,Decrescente,100000,3,0.13529626667150296,815024.0,OK
Merge Sort,Aleatório,100000,3,0.15652563334636702,1536200.0,OK
Merge Sort,Crescente,150000,3,0.2038088333210908,1323632.0,OK
Merge Sort,Decrescente,150000,3,0.21032756667894623,1264224.0,OK
Merge Sort,Aleatório,150000,3,0.26109383332853514,2392185.0,OK
Merge Sort,Crescente,200000,3,0.287880399991991,1807808.0,OK
Merge Sort,Decrescente,200000,3,0.29229740000058274,1730048.0,OK
Merge Sort,Aleatório,200000,3,0.33684266665174317,3272532.0,OK
