algoritmo,tipo_entrada,tamanho,tempo_medio,comparacoes_medias
Insertion Sort,Crescente,500,2.910000027137964e-05,499.0
Bubble Sort,Crescente,500,0.0039032666663842974,124750.0
Merge Sort,Crescente,500,0.000536166666582479,2272.0
Heap Sort,Crescente,500,0.000567366666776555,7756.0
Quick Sort,Crescente,500,0.006027766666496366,124750.0
Insertion Sort,Decrescente,500,0.005036466666448784,124750.0
Bubble Sort,Decrescente,500,0.006669966666777327,124750.0
Merge Sort,Decrescente,500,0.0004382666666060686,2216.0
Heap Sort,Decrescente,500,0.00045246666650200495,7010.0
Quick Sort,Decrescente,500,0.003851400000106272,124750.0
Insertion Sort,Aleatório,500,0.0030128333334384174,62217.0
Bubble Sort,Aleatório,500,0.005434266666573724,124750.0
Merge Sort,Aleatório,500,0.0006382999999914318,3853.0
Heap Sort,Aleatório,500,0.0005105333336056598,7438.0
Quick Sort,Aleatório,500,0.000246799999937745,5181.0
