algoritmo,tipo_entrada,tamanho,repeticoes,tempo_medio,comparacoes_medias,status
Quick Sort,Crescente,100,3,0.00023356666012356678,4950.0,OK
Quick Sort,Decrescente,100,3,0.0001794666653343787,4950.0,OK
Quick Sort,Aleatório,100,3,4.0366663597524166e-05,682.0,OK
Quick Sort,Crescente,1000,3,0.023235233335678156,499500.0,OK
Quick Sort,Decrescente,1000,3,0.01625870000376987,499500.0,OK
Quick Sort,Aleatório,1000,3,0.000529133336385712,11696.0,OK
Quick Sort,Crescente,5000,3,0.5467463333334308,12497500.0,OK
Quick Sort,Decrescente,5000,3,0.3986180333304219,12497500.0,OK
Quick Sort,Aleatório,5000,3,0.0036752333398908377,75186.0,OK
Quick Sort,Crescente,30000,3,20.131720533322852,449985000.0,OK
Quick Sort,Decrescente,30000,3,16.279264266660903,449985000.0,OK
Quick Sort,Aleatório,30000,3,0.03353516666296249,520345.0,OK
Quick Sort,Crescente,50000,3,57.44544880000952,1249975000.0,OK
Quick Sort,Decrescente,50000,3,41.526738366665086,1249975000.0,OK
Quick Sort,Aleatório,50000,3,0.04150539999439692,963447.0,OK
Quick Sort,Crescente,100000,3,226.7674813666672,4999950000.0,OK
Quick Sort,Decrescente,100000,3,167.7552956000048,4999950000.0,OK
Quick Sort,Aleatório,100000,3,0.08432856665846582,1967000.0,OK
Quick Sort,Crescente,150000,3,510.44307340000523,11249925000.0,OK
Quick Sort,Decrescente,150000,3,371.40507290000096,11249925000.0,OK
Quick Sort,Aleatório,150000,3,0.14168103333213367,3149401.0,OK
Quick Sort,Crescente,200000,3,896.6901302000042,19999900000.0,OK
Quick Sort,Decrescente,200000,3,628.7268336333412,19999900000.0,OK
Quick Sort,Aleatório,200000,3,0.18365470000814335,4337578.0,OK
