algoritmo,tipo_entrada,tamanho,tempo_medio,comparacoes_medias,status
Insertion Sort,Crescente,100,7.433322025462985e-06,99.0,OK
Bubble Sort,Crescente,100,0.0001483999949414283,4950.0,OK
Merge Sort,Crescente,100,7.973332928183179e-05,356.0,OK
Heap Sort,Crescente,100,8.733332894432048e-05,1081.0,OK
Quick Sort,Crescente,100,0.00023096666942971447,4950.0,OK
Insertion Sort,Decrescente,100,0.0002341999982794126,4950.0,OK
Bubble Sort,Decrescente,100,0.00027353334007784724,4950.0,OK
Merge Sort,Decrescente,100,8.073332719504833e-05,316.0,OK
Heap Sort,Decrescente,100,6.843334025082488e-05,944.0,OK
Quick Sort,Decrescente,100,0.0001756999990902841,4950.0,OK
Insertion Sort,Aleatório,100,0.00010706666701783736,2397.0,OK
Bubble Sort,Aleatório,100,0.00023736666965608796,4950.0,OK
Merge Sort,Aleatório,100,0.00011346666724421084,541.0,OK
Heap Sort,Aleatório,100,9.69333341345191e-05,1021.0,OK
Quick Sort,Aleatório,100,4.826665584308406e-05,605.0,OK
Insertion Sort,Crescente,1000,5.483332400520643e-05,999.0,OK
Bubble Sort,Crescente,1000,0.015854266685588907,499500.0,OK
Merge Sort,Crescente,1000,0.0009791666719441612,5044.0,OK
Heap Sort,Crescente,1000,0.0012515333267704893,17583.0,OK
Quick Sort,Crescente,1000,0.02157736666655789,499500.0,OK
Insertion Sort,Decrescente,1000,0.020613833320870373,499500.0,OK
Bubble Sort,Decrescente,1000,0.0265218666754663,499500.0,OK
Merge Sort,Decrescente,1000,0.0009245000061734269,4932.0,OK
Heap Sort,Decrescente,1000,0.0011195666641773034,15965.0,OK
Quick Sort,Decrescente,1000,0.016671266668708995,499500.0,OK
Insertion Sort,Aleatório,1000,0.010892966655471051,251070.0,OK
Bubble Sort,Aleatório,1000,0.02356343333182546,499500.0,OK
Merge Sort,Aleatório,1000,0.0010343666654080153,8678.0,OK
Heap Sort,Aleatório,1000,0.0011639999963032703,16828.0,OK
Quick Sort,Aleatório,1000,0.0005079666637660315,10594.0,OK
Insertion Sort,Crescente,5000,0.00027239999811475474,4999.0,OK
Bubble Sort,Crescente,5000,0.35943939999560826,12497500.0,OK
Merge Sort,Crescente,5000,0.005875333328731358,32004.0,OK
Heap Sort,Crescente,5000,0.009109333341863627,112126.0,OK
Quick Sort,Crescente,5000,0.5448997666632446,12497500.0,OK
Insertion Sort,Decrescente,5000,0.5216606999941481,12497500.0,OK
Bubble Sort,Decrescente,5000,0.689630433334969,12497500.0,OK
Merge Sort,Decrescente,5000,0.0057505666627548635,29804.0,OK
Heap Sort,Decrescente,5000,0.006623599998420104,103227.0,OK
Quick Sort,Decrescente,5000,0.3982823999928466,12497500.0,OK
Insertion Sort,Aleatório,5000,0.2683928333184061,6222094.0,OK
Bubble Sort,Aleatório,5000,0.5970203999895602,12497500.0,OK
Merge Sort,Aleatório,5000,0.006872300010096903,55267.0,OK
Heap Sort,Aleatório,5000,0.009763933330153426,107693.0,OK
Quick Sort,Aleatório,5000,0.0035254666678762683,71449.0,OK
