algoritmo,tipo_entrada,tamanho,repeticoes,tempo_medio,comparacoes_medias,status
Insertion Sort,Crescente,100,3,6.033340469002724e-06,99.0,OK
Bubble Sort,Crescente,100,3,0.00014723331939118603,4950.0,OK
Merge Sort,Crescente,100,3,7.76666565798223e-05,356.0,OK
Heap Sort,Crescente,100,3,8.57333264624079e-05,1081.0,OK
Quick Sort,Crescente,100,3,0.000233233324252069,4950.0,OK
Insertion Sort,Decrescente,100,3,0.00022283334207410613,4950.0,OK
Bubble Sort,Decrescente,100,3,0.00028443332606305677,4950.0,OK
Merge Sort,Decrescente,100,3,7.699999453810354e-05,316.0,OK
Heap Sort,Decrescente,100,3,8.063333613487582e-05,944.0,OK
Quick Sort,Decrescente,100,3,0.00018356666744997105,4950.0,OK
Insertion Sort,Aleatório,100,3,0.00011096666761053105,2204.0,OK
Bubble Sort,Aleatório,100,3,0.00021996666328050196,4950.0,OK
Merge Sort,Aleatório,100,3,8.903333218768239e-05,544.0,OK
Heap Sort,Aleatório,100,3,8.98000046921273e-05,1025.0,OK
Quick Sort,Aleatório,100,3,3.756666167949637e-05,669.0,OK
Insertion Sort,Crescente,1000,3,5.533332781245311e-05,999.0,OK
Bubble Sort,Crescente,1000,3,0.015479166662165275,499500.0,OK
Merge Sort,Crescente,1000,3,0.0009949999900224309,5044.0,OK
Heap Sort,Crescente,1000,3,0.0012513333252475907,17583.0,OK
Quick Sort,Crescente,1000,3,0.02152846667255896,499500.0,OK
Insertion Sort,Decrescente,1000,3,0.021050733329805855,499500.0,OK
Bubble Sort,Decrescente,1000,3,0.026514833327382803,499500.0,OK
Merge Sort,Decrescente,1000,3,0.0009477666656797131,4932.0,OK
Heap Sort,Decrescente,1000,3,0.0010189333309729893,15965.0,OK
Quick Sort,Decrescente,1000,3,0.016131699997155618,499500.0,OK
Insertion Sort,Aleatório,1000,3,0.01072826666252998,245166.0,OK
Bubble Sort,Aleatório,1000,3,0.023270266673838098,499500.0,OK
Merge Sort,Aleatório,1000,3,0.0010355666745454073,8714.0,OK
Heap Sort,Aleatório,1000,3,0.001201333332573995,16858.0,OK
Quick Sort,Aleatório,1000,3,0.0005358666627823064,11732.0,OK
Insertion Sort,Crescente,5000,3,0.0002467666636221111,4999.0,OK
Bubble Sort,Crescente,5000,3,0.35863699999754317,12497500.0,OK
Merge Sort,Crescente,5000,3,0.0059895999923658865,32004.0,OK
Heap Sort,Crescente,5000,3,0.008875800005625933,112126.0,OK
Quick Sort,Crescente,5000,3,0.5410377333270541,12497500.0,OK
Insertion Sort,Decrescente,5000,3,0.526074733332886,12497500.0,OK
Bubble Sort,Decrescente,5000,3,0.6906479999985701,12497500.0,OK
Merge Sort,Decrescente,5000,3,0.005949099994419764,29804.0,OK
Heap Sort,Decrescente,5000,3,0.006513033333855371,103227.0,OK
Quick Sort,Decrescente,5000,3,0.4009248666698113,12497500.0,OK
Insertion Sort,Aleatório,5000,3,0.26505673333304003,6275020.0,OK
Bubble Sort,Aleatório,5000,3,0.5745969000078427,12497500.0,OK
Merge Sort,Aleatório,5000,3,0.00629086666352426,55161.0,OK
Heap Sort,Aleatório,5000,3,0.007596866673945139,107594.0,OK
Quick Sort,Aleatório,5000,3,0.0036404333368409425,78720.0,OK
