algoritmo,tipo_entrada,tamanho,tempo_medio,comparacoes_medias
Insertion Sort,Crescente,500,2.879999980602103e-05,499.0
Bubble Sort,Crescente,500,0.0037521999999322966,124750.0
Merge Sort,Crescente,500,0.0004985333334843745,2272.0
Heap Sort,Crescente,500,0.0005669333331752568,7756.0
Quick Sort,Crescente,500,0.005533900000045833,124750.0
Insertion Sort,Decrescente,500,0.0051861333328512655,124750.0
Bubble Sort,Decrescente,500,0.006400500000078561,124750.0
Merge Sort,Decrescente,500,0.000550699999924594,2216.0
Heap Sort,Decrescente,500,0.00043076666649236966,7010.0
Quick Sort,Decrescente,500,0.0038688000001153946,124750.0
Insertion Sort,Aleatório,500,0.002746600000136823,63132.0
Bubble Sort,Aleatório,500,0.005591733333252098,124750.0
Merge Sort,Aleatório,500,0.00048069999987395323,3839.0
Heap Sort,Aleatório,500,0.0005212000002453957,7418.0
Quick Sort,Aleatório,500,0.0002490666665835306,5240.0
